"order";"family";"feature";"data_set";"tolerance";"case_def"
29;"Diagnostics-initial ROI";"Morph. mask voxel count";"case_5";0;"B"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_1";0;"B"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_2";0;"B"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_3";0;"B"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_4";0;"B"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_5";0;"B"
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_1";0;"B"
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_2";0;"B"
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_3";0;"B"
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_4";0;"B"
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_5";0;"B"
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_1";0;"B"
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_2";0;"B"
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_3";0;"B"
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_4";0;"B"
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_5";0;"B"
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_1";0.65;"B"
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_2";0.65;"B"
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_3";0.65;"B"
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_4";0;"B"
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_5";0.65;"B"
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_1";0.7;"B"
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_2";0.7;"B"
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_3";0.7;"B"
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_4";0;"B"
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_5";0.7;"B"
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_1";0;"B"
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_2";0;"B"
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_3";0;"B"
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_4";0;"B"
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_5";0;"B"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_1";0.1;"B"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_2";0.1;"B"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_3";0.1;"B"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_4";0;"B"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_5";0.1;"B"
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_1";0.15;"B"
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_2";0.15;"B"
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_3";0.15;"B"
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_4";0;"B"
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_5";0.15;"B"
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_1";0;"B"
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_2";0;"B"
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_3";0;"B"
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_4";0;"B"
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_5";0;"B"
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_1";0.1;"B"
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_2";0.1;"B"
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_3";0.1;"B"
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_4";0;"B"
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_5";0.1;"B"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_1";0.15;"B"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_2";0.15;"B"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_3";0.15;"B"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_4";0;"B"
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_5";0.15;"B"
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_1";0;"B"
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_2";0;"B"
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_3";0;"B"
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_4";0;"B"
41;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension z";"case_5";0;"B"
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_1";4.75;"B"
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_2";4.475;"B"
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_3";8.1;"B"
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_4";0;"B"
42;"Diagnostics-interpolated ROI";"Int. mask voxel count";"case_5";8.1;"B"
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_1";4.75;"B"
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_2";4.475;"B"
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_3";8.1;"B"
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_4";0;"B"
43;"Diagnostics-interpolated ROI";"Morph. mask voxel count";"case_5";8.1;"B"
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_1";0.0183212280273438;"B"
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_2";0.0183212280273438;"B"
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_3";0.0156459331512451;"B"
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_4";0;"B"
44;"Diagnostics-interpolated ROI";"Int. mask mean intensity";"case_5";0.0155887603759766;"B"
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_1";0.95;"B"
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_2";0.775;"B"
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_3";0.45;"B"
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_4";0;"B"
45;"Diagnostics-interpolated ROI";"Int. mask minimum intensity";"case_5";0.725;"B"
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_1";5.675;"B"
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_2";5.3625;"B"
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_3";3.35;"B"
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_4";0;"B"
46;"Diagnostics-interpolated ROI";"Int. mask maximum intensity";"case_5";4.0125;"B"
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_1";0.65;"B"
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_2";0.65;"B"
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_3";0.65;"B"
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_4";0;"B"
47;"Diagnostics-resegmented ROI";"Int. mask dimension x";"case_5";0.65;"B"
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_1";0.7;"B"
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_2";0.7;"B"
