"order";"family";"feature";"data_set";"tolerance"
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_2";0
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_3";0
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_4";0
30;"Diagnostics-initial ROI";"Int. mask mean intensity";"case_5";0
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_1";0
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_2";0
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_3";0
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_4";0
31;"Diagnostics-initial ROI";"Int. mask minimum intensity";"case_5";0
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_1";0
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_2";0
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_3";0
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_4";0
32;"Diagnostics-initial ROI";"Int. mask maximum intensity";"case_5";0
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_1";0.65
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_2";0.65
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_3";0.65
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_4";0.65
33;"Diagnostics-interpolated ROI";"Int. mask dimension x";"case_5";0.65
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_1";0.7
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_2";0.7
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_3";0.7
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_4";0.7
34;"Diagnostics-interpolated ROI";"Int. mask dimension y";"case_5";0.7
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_1";0
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_2";0
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_3";0
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_4";0
35;"Diagnostics-interpolated ROI";"Int. mask dimension z";"case_5";0
